path,title,price
https://novamnm.com/product/blu-ray-bad-genius-full-slip/1231/?cate_no=122&display_group=1,BLU-RAY / BAD GENIUS FULL SLIP,14.79
https://novamnm.com/product/blu-ray-like-a-virgin/2579/?cate_no=122&display_group=1,BLU-RAY / Like A Virgin,17.29
https://novamnm.com/product/blu-ray-killer-toon/2581/?cate_no=122&display_group=1,BLU-RAY / Killer Toon,17.29
https://novamnm.com/product/blu-ray-blood-and-ties/2582/?cate_no=122&display_group=1,BLU-RAY / Blood and Ties,17.29
https://novamnm.com/product/blu-ray-dancing-queen/2583/?cate_no=122&display_group=1,BLU-RAY / Dancing Queen,17.29
https://novamnm.com/product/blu-ray-quick/2585/?cate_no=122&display_group=1,BLU-RAY / Quick,17.29
https://novamnm.com/product/blu-ray-way-back-home/2584/?cate_no=122&display_group=1,BLU-RAY / Way Back Home,17.29
https://novamnm.com/product/blu-ray-woman-in-gold-plain-edition/1023/?cate_no=122&display_group=1,BLU-RAY / WOMAN IN GOLD (plain edition),14.79
https://novamnm.com/product/blu-ray-library-wars-plain-edition/262/?cate_no=122&display_group=1,BLU-RAY / LIBRARY WARS (plain edition),14.79
https://novamnm.com/product/blu-ray-transporter-3-plain-edition/2548/?cate_no=122&display_group=1,BLU-RAY /  Transporter 3 (Plain edition),13.79
https://novamnm.com/product/blu-ray-happy-life/2580/?cate_no=122&display_group=1,BLU-RAY / Happy Life,17.29
https://novamnm.com/product/blu-ray-secret-window/1886/?cate_no=122&display_group=1,BLU-RAY / Secret Window,16.29
https://novamnm.com/product/blu-ray-parental-guidance-plain-edition/2549/?cate_no=122&display_group=1,BLU-RAY / Parental Guidance (Plain edition),9.19
https://novamnm.com/product/blu-ray-horsemen-plain-edition/2550/?cate_no=122&display_group=1,BLU-RAY / Horsemen (Plain edition),7.09
https://novamnm.com/product/blu-ray-the-sitter-plain-edition/2551/?cate_no=122&display_group=1,BLU-RAY / The Sitter (Plain edition),7.09
https://novamnm.com/product/blu-ray-digimon-adventure-tri-vol-2-determination-plain-edition/2552/?cate_no=122&display_group=1,BLU-RAY / Digimon Adventure Tri Vol 2 ‘Determination (Plain edition),15.79
https://novamnm.com/product/blu-ray-kingsman-the-secret-service-plain-edition/2553/?cate_no=122&display_group=1,BLU-RAY / Kingsman : The Secret Service (Plain edition),14.79
https://novamnm.com/product/blu-ray-confessions/1913/?cate_no=122&display_group=1,BLU-RAY /   Confessions,14.79
https://novamnm.com/product/blu-ray-lovely-bones-no-slipcase/2187/?cate_no=122&display_group=1,BLU-RAY / Lovely Bones (no slipcase),16.79
https://novamnm.com/product/blu-ray-let-me-in/1914/?cate_no=122&display_group=1,BLU-RAY /  Let Me In,14.79
https://novamnm.com/product/blu-ray-the-intouchables-plain-edition/372/?cate_no=122&display_group=1,BLU-RAY / THE INTOUCHABLES PLAIN EDITION,13.79
